itemtestado;condicaoaprovacao;descricao;tipoteste
Carregamento do Formulário de Apontamento;O formulário deve carregar na aba Apontamento do Fluig com todos os campos visíveis e funcionais.;1. Acessar a aba Apontamento no Fluig. 2. Verificar se o formulário é exibido corretamente. 3. Validar se todos os campos estão visíveis: Centro de Custo, Ordem de Produção, Produto, CR (Lote), Quantidade.;Sistema
Campo Centro de Custo - Carregamento de Lista;O campo deve exibir apenas centros de custo ativos (status 1 ou 4) da coligada 1 da tabela MPRJ.;1. Clicar no campo Centro de Custo. 2. Verificar se a lista suspensa é carregada. 3. Validar se apenas projetos com MPRJ.POSICAO status 1 ou 4 são exibidos.;Sistema
Campo Ordem de Produção - Filtro por Status;O campo deve listar ordens com status diferente de "Apontada" ou "Cancelada" e que possuam componente "Máscara 053".;1. Selecionar um Centro de Custo válido. 2. Clicar no campo Ordem de Produção. 3. Verificar se apenas ordens válidas são listadas conforme critérios especificados.;Sistema
Campo Produto - Filtro por Código;O campo deve exibir apenas produtos que iniciam com "01.053" e com status ativo.;1. Selecionar Centro de Custo e Ordem de Produção. 2. Clicar no campo Produto. 3. Validar se apenas produtos iniciados em "01.053" e ativos aparecem na lista.;Componente
Campo CR (Lote) - Seleção de Lotes Aprovados;O campo deve permitir seleção apenas de lotes aprovados com saldo disponível no estoque 23.;1. Preencher campos anteriores. 2. Clicar no campo CR (Lote). 3. Verificar se apenas lotes aprovados com saldo no magazine são exibidos.;Sistema
Validação de Quantidade - Valor Mínimo;O campo quantidade deve aceitar apenas valores positivos maiores que zero.;1. Preencher todos os campos anteriores. 2. No campo Quantidade, inserir valor "0". 3. Tentar salvar. 4. Verificar se mensagem de erro é exibida para quantidade inválida.;Unidade
Validação de Quantidade - Limite de Saldo;O sistema não deve permitir quantidade superior ao saldo disponível do lote selecionado.;1. Selecionar um lote com saldo conhecido. 2. Inserir quantidade maior que o saldo disponível. 3. Tentar salvar. 4. Validar exibição de mensagem de erro sobre limite excedido.;Sistema
Adição de Múltiplas Linhas de Apontamento;O sistema deve permitir até 5 linhas de apontamento em uma única solicitação.;1. Criar primeira linha de apontamento. 2. Clicar em adicionar nova linha. 3. Repetir até completar 5 linhas. 4. Verificar se todas as linhas são mantidas corretamente.;Sistema
Limite Máximo de Linhas - Validação;Ao atingir 5 linhas, o sistema deve exibir mensagem informativa impedindo adição de mais registros.;1. Adicionar 5 linhas de apontamento. 2. Tentar adicionar 6ª linha. 3. Verificar se mensagem informativa é exibida indicando limite atingido.;Sistema
Rateio Proporcional de Quantidades;O sistema deve distribuir quantidade proporcionalmente entre ordens selecionadas quando aplicável.;1. Selecionar múltiplas ordens de produção. 2. Definir quantidade total para rateio. 3. Executar função de rateio. 4. Verificar se distribuição foi feita proporcionalmente.;Componente
Validação de Saldo no Envio;Antes do envio, sistema deve validar saldo disponível na tabela TLOTEPRDLOC.IDLOTE.;1. Preencher apontamento com lote válido. 2. Clicar em enviar. 3. Verificar se sistema consulta saldo atual antes de processar. 4. Validar se apontamento é rejeitado se saldo insuficiente.;Sistema
Validação de Status da Ordem no Envio;Sistema deve verificar status da ordem de produção na tabela KORDEM.CODORDEM antes do envio.;1. Selecionar ordem de produção válida. 2. Preencher apontamento completo. 3. Enviar solicitação. 4. Verificar se status da ordem é validado antes do processamento.;Sistema
Geração de Movimento 2.2.18;Após aprovação, sistema deve gerar baixa no movimento 2.2.18 - Baixa Matéria Prima.;1. Enviar apontamento válido. 2. Aguardar processamento. 3. Verificar no RM se movimento 2.2.18 foi gerado corretamente. 4. Validar dados do movimento.;Sistema
Execução da Procedure SP_CRM_VINCULAMATERIAL;Após baixa, procedure deve ser executada para alimentar tabelas relacionadas.;1. Confirmar geração do movimento 2.2.18. 2. Verificar execução automática da procedure SP_CRM_VINCULAMATERIAL. 3. Validar se tabelas foram atualizadas corretamente.;Sistema
Envio de E-mail de Confirmação - Sucesso;Sistema deve enviar e-mail de confirmação quando apontamento é processado com sucesso.;1. Realizar apontamento válido. 2. Enviar solicitação. 3. Verificar recebimento de e-mail com status "Concluído". 4. Validar informações no e-mail (Centro de Custo, Ordem, Produto, Lote, Quantidade).;Sistema
Envio de E-mail de Confirmação - Erro;Sistema deve enviar e-mail informando erro quando apontamento falha no processamento.;1. Criar apontamento com erro conhecido. 2. Enviar solicitação. 3. Verificar recebimento de e-mail com status "Erro". 4. Validar informações de erro no e-mail.;Sistema
Visualização Pública da Solicitação;Solicitações devem ser visíveis publicamente após criação, independente de permissões.;1. Criar solicitação com usuário A. 2. Fazer logout. 3. Fazer login com usuário B sem permissões especiais. 4. Verificar se consegue visualizar a solicitação criada.;Sistema
Interface Amigável e Intuitiva;Interface deve ser de fácil navegação e compreensão para colaboradores do magazine.;1. Apresentar formulário para usuário sem treinamento. 2. Cronometrar tempo para completar primeiro apontamento. 3. Coletar feedback sobre facilidade de uso. 4. Validar se interface atende requisitos de usabilidade.;Componente
Performance com Grandes Volumes;Sistema deve manter performance adequada ao processar múltiplas solicitações simultâneas.;1. Criar 20 apontamentos simultâneos. 2. Medir tempo de resposta do sistema. 3. Verificar se há degradação de performance. 4. Validar se tempo de resposta permanece aceitável.;Sistema
Integração com RM - Consulta de Dados;Todos os campos devem carregar dados corretamente das tabelas do RM especificadas.;1. Verificar carregamento de Centro de Custo (MPRJ.CODCUSTO). 2. Validar Ordem de Produção (KORDEM.CODORDEM). 3. Confirmar Produtos (TPRODUTO.CODIGOPRD). 4. Testar Lotes (TLOTEPRDLOC.IDLOTE). 5. Verificar Saldos (TLOTEPRDLOC.SALDOFISICO2).;Sistema
