itemtestado;condicaoaprovacao;descricao;tipoteste
OS 32 - Classificação 00 - Local 22;Sistema deve aplicar natureza 40.006 para OS 32, classificação fiscal 00, local estoque 22, movimento SC 1.1.33;1. Criar pedido para OS 32. 2. Definir classificação fiscal 00 (Mercadoria p/ Revenda). 3. Definir local estoque 22. 4. Processar até SC com movimento 1.1.33. 5. Verificar natureza orçamentária 40.006.;Integração
OS 32 - Classificação 01 - Local 22;Sistema deve aplicar natureza 40.006 para OS 32, classificação fiscal 01, local estoque 22, movimento SC 1.1.33;1. Criar pedido para OS 32. 2. Definir classificação fiscal 01 (Matéria Prima). 3. Definir local estoque 22. 4. Processar até SC com movimento 1.1.33. 5. Verificar natureza orçamentária 40.006.;Integração
OS 32 - Classificação 01 - Local 30;Sistema deve aplicar natureza 40.006 para OS 32, classificação fiscal 01, local estoque 30, movimento SC 1.1.33/1.1.16 consignado;1. Criar pedido para OS 32. 2. Definir classificação fiscal 01 (Matéria Prima). 3. Definir local estoque 30. 4. Processar até SC com movimento 1.1.33/1.1.16 consignado. 5. Verificar natureza orçamentária 40.006.;Integração
OS 32 - Classificação 02 - Local 22;Sistema deve aplicar natureza 40.007 para OS 32, classificação fiscal 02, local estoque 22, movimento SC 1.1.35;1. Criar pedido para OS 32. 2. Definir classificação fiscal 02 (Embalagem). 3. Definir local estoque 22. 4. Processar até SC com movimento 1.1.35. 5. Verificar natureza orçamentária 40.007.;Integração
OS 32 - Classificação 07 - Local 28;Sistema deve aplicar natureza 39.002 para OS 32, classificação fiscal 07, local estoque 28, movimento SC 1.1.83;1. Criar pedido para OS 32. 2. Definir classificação fiscal 07 (Uso e Consumo). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.83. 5. Verificar natureza orçamentária 39.002.;Integração
OS 60 - Classificação 07 - Local 28;Sistema deve aplicar natureza 39.003 para OS 60, classificação fiscal 07, local estoque 28, movimento SC 1.1.83;1. Criar pedido para OS 60. 2. Definir classificação fiscal 07 (Uso e Consumo). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.83. 5. Verificar natureza orçamentária 39.003.;Integração
OS 51 - Classificação 07 - Local 28;Sistema deve aplicar natureza 39.003 para OS 51, classificação fiscal 07, local estoque 28, movimento SC 1.1.83;1. Criar pedido para OS 51. 2. Definir classificação fiscal 07 (Uso e Consumo). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.83. 5. Verificar natureza orçamentária 39.003.;Integração
OS 32 - Classificação 09 - Local 28;Sistema deve aplicar natureza 39.002 para OS 32, classificação fiscal 09, local estoque 28, movimento SC 1.1.34;1. Criar pedido para OS 32. 2. Definir classificação fiscal 09 (Serviços). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.34. 5. Verificar natureza orçamentária 39.002.;Integração
OS 60 - Classificação 09 - Local 28;Sistema deve aplicar natureza 39.003 para OS 60, classificação fiscal 09, local estoque 28, movimento SC 1.1.34;1. Criar pedido para OS 60. 2. Definir classificação fiscal 09 (Serviços). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.34. 5. Verificar natureza orçamentária 39.003.;Integração
OS 51 - Classificação 09 - Local 28;Sistema deve aplicar natureza 39.003 para OS 51, classificação fiscal 09, local estoque 28, movimento SC 1.1.34;1. Criar pedido para OS 51. 2. Definir classificação fiscal 09 (Serviços). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.34. 5. Verificar natureza orçamentária 39.003.;Integração
OS 32 - Classificação 99 - Local 28 - Frete Venda;Sistema deve aplicar natureza 40.006 para OS 32, classificação fiscal 99, local estoque 28, movimento SC 1.1.34 se frete venda;1. Criar pedido para OS 32. 2. Definir classificação fiscal 99 (Outros). 3. Definir local estoque 28. 4. Definir como frete venda. 5. Processar até SC com movimento 1.1.34. 6. Verificar natureza orçamentária 40.006.;Integração
OS 32 - Classificação 99 - Local 28 - Frete Administrativo;Sistema deve aplicar natureza 39.002 para OS 32, classificação fiscal 99, local estoque 28, movimento SC 1.1.34 se frete administrativo;1. Criar pedido para OS 32. 2. Definir classificação fiscal 99 (Outros). 3. Definir local estoque 28. 4. Definir como frete administrativo. 5. Processar até SC com movimento 1.1.34. 6. Verificar natureza orçamentária 39.002.;Integração
OS 60 - Classificação 99 - Local 28;Sistema deve aplicar natureza 39.003 para OS 60, classificação fiscal 99, local estoque 28, movimento SC 1.1.34;1. Criar pedido para OS 60. 2. Definir classificação fiscal 99 (Outros). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.34. 5. Verificar natureza orçamentária 39.003.;Integração
OS 51 - Classificação 99 - Local 28;Sistema deve aplicar natureza 39.003 para OS 51, classificação fiscal 99, local estoque 28, movimento SC 1.1.34;1. Criar pedido para OS 51. 2. Definir classificação fiscal 99 (Outros). 3. Definir local estoque 28. 4. Processar até SC com movimento 1.1.34. 5. Verificar natureza orçamentária 39.003.;Integração
Validação OS Inválida;Sistema deve rejeitar ou aplicar natureza padrão para OS não configurada;1. Criar pedido para OS inexistente (ex: OS 99). 2. Definir classificação fiscal válida. 3. Definir local estoque válido. 4. Processar até SC. 5. Verificar comportamento do sistema (erro ou natureza padrão).;Sistema
Validação Classificação Fiscal Inválida;Sistema deve rejeitar ou aplicar natureza padrão para classificação fiscal não configurada;1. Criar pedido para OS válida. 2. Definir classificação fiscal inexistente (ex: 99). 3. Definir local estoque válido. 4. Processar até SC. 5. Verificar comportamento do sistema.;Sistema
Validação Local Estoque Inválido;Sistema deve rejeitar ou aplicar natureza padrão para local estoque não configurado;1. Criar pedido para OS válida. 2. Definir classificação fiscal válida. 3. Definir local estoque inexistente (ex: 99). 4. Processar até SC. 5. Verificar comportamento do sistema.;Sistema
Múltiplos Itens - Diferentes Naturezas;Sistema deve aplicar natureza específica para cada combinação OS + Classificação + Local;1. Criar pedido com múltiplos itens para mesma OS. 2. Definir diferentes classificações fiscais (00, 07). 3. Definir locais estoque (22, 28). 4. Processar até SC. 5. Verificar naturezas 40.006 e 39.002 respectivamente.;Integração
Alteração Parâmetros - Recálculo Natureza;Sistema deve recalcular natureza ao alterar OS, classificação ou local;1. Criar pedido OS 32, classificação 07, local 28. 2. Alterar OS para 60. 3. Processar até SC. 4. Verificar mudança de natureza de 39.002 para 39.003.;Sistema
Campos Obrigatórios;Sistema deve validar preenchimento obrigatório de OS, classificação fiscal e local estoque;1. Criar pedido sem definir OS. 2. Tentar processar até SC. 3. Verificar mensagem de erro apropriada. 4. Repetir para classificação fiscal e local estoque.;Sistema
Histórico Combinações;Sistema deve manter log das combinações OS + Classificação + Local + Movimento = Natureza;1. Processar pedido com combinação válida. 2. Verificar log da determinação da natureza. 3. Alterar parâmetros. 4. Verificar novo log e histórico de mudanças.;Sistema
